"annee_consommation","meta_categorie_activite","categorie_activite","sous_categorie_activite","nombre_declaration","surface_declaree","consommation_declaree"
"2020","Culture","Culture et spectacles - Bibliothèque, médiathèque et service d'archives","Bibliothèque, médiathèque et service d'archives - Valeur par défaut",711,1606221,173633901
"2020","Culture","Culture et spectacles - Bibliothèque, médiathèque et service d'archives","Bibliothèque, médiathèque et service d'archives - Zone de conservation des collections sans contrôle hygrométrique",19,62038,3830697
"2020","Culture","Culture et spectacles - Bibliothèque, médiathèque et service d'archives","Bibliothèque, médiathèque et service d'archives - Zone de conservation et de traitement des collections avec contrôle climatique complet (température et hygrométrie)",53,397708,46354961
"2020","Culture","Culture et spectacles - Cinéma","Cinéma - Administration et bureaux (Bureaux Standards)",6,20805,3786561
"2020","Culture","Culture et spectacles - Cinéma","Cinéma - Salle de cinéma et cabine de projection",124,475151,61826522
"2020","Culture","Culture et spectacles - Cinéma","Cinéma - Valeur par défaut",214,876538,99235763
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes (Valeur par défaut)",22,55102,11284816
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes - Administration et bureaux (Bureaux Standards)",23,23528,5574015
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes - Aquarium et vivarium",8,67187,22671857
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes - Parc zoologique (Enclos fermés et couverts d'hébergement des animaux)",12,78171,24853273
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes - Serres",33,124825,24339201
"2020","Culture","Culture et spectacles - Espèces vivantes","Espèces vivantes - Zone de soins vétérinaires",4,2137,183187
"2020","Culture","Culture et spectacles - Musée ou centre d'art avec protection patrimoniale","Musée ou centre d'art avec protection patrimoniale - Administration et bureaux (Bureaux Standards)",24,90581,14105421
"2020","Culture","Culture et spectacles - Musée ou centre d'art avec protection patrimoniale","Musée ou centre d'art avec protection patrimoniale - Salle d'exposition (tout type de traitement d'air)",171,726757,94086100
"2020","Culture","Culture et spectacles - Musée ou centre d'art avec protection patrimoniale","Musée ou centre d'art avec protection patrimoniale - Valeur par défaut",243,922012,109149264
"2020","Culture","Culture et spectacles - Musée ou centre d'art avec protection patrimoniale","Musée ou centre d'art avec protection patrimoniale - Zone de conservation des collections avec contrôle climatique complet (température et hygrométrie)",15,75998,16108516
"2020","Culture","Culture et spectacles - Musée ou centre d'art avec protection patrimoniale","Musée ou centre d'art avec protection patrimoniale - Zone de conservation des collections sans contrôle hygrométrique",13,39771,2860378
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Administration et bureaux (Bureaux Standards)",32,114674,16354902
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Salle d'animation audiovisuelle",7,10039,1261851
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Salle d'exposition (tout type de traitement d'air)",230,605763,71948829
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Valeur par défaut",253,805650,104584774
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Zone de conservation des collections avec contrôle climatique complet (température et hygrométrie)",19,79186,16128289
"2020","Culture","Culture et spectacles - Musée ou centre d'art sans protection patrimoniale","Musée ou centre d'art sans protection patrimoniale - Zone de conservation des collections sans contrôle hygrométrique",16,62143,7849221
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Bibliothèque, médiathèque et service d'archives - ERP - Salle de lecture, d'exposition, de conférences, hall d'accueil",4,14440,1430619
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Bureaux - Bureaux standards",4,7622,810235
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Administration et bureaux (Bureaux Standards)",80,253500,30809249
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Atelier et zone technique",22,103922,8830371
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Foyer et zone de convivialité",16,17305,1414963
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Loge des artistes",3,2877,224003
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Salle de spectacle et de répétition",985,2044281,223642883
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Valeur par défaut",1059,2785983,287267141
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Zone d'accueil du public",33,108067,13403193
"2020","Culture","Culture et spectacles - Salle de spectacles vivants sans protection patrimoniale","Salle de spectacles vivants sans protection patrimoniale - Zone de stockage sans contrôle hygrométrique",8,10260,658297
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Administration et bureaux (Bureaux Standards)",116,287222,30769265
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Amphithéâtre, Auditorium, Salles de conférences",9,31433,3496552
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Ateliers et Halles techniques avec Process",166,629192,62617349
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Salles de formation et d'enseignement banalisé - Avec Process",219,1473296,204838328
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Salles de formation et d'enseignement banalisé - Sans Process",231,585464,64702577
"2020","Enseignement","Enseignement - Formation continue pour adultes","Formation continue pour adultes - Valeur par défaut",330,768466,83981678
"2020","Enseignement","Enseignement Primaire","Accueil petite enfance - Crèche",4,7416,553742
"2020","Enseignement","Enseignement Primaire","Bureaux - Bureaux standards",16,78769,13458190
"2020","Enseignement","Enseignement Primaire","Bureaux - Grande salle de réunion - Auditorium - Amphithéâtre (à partir de 30 places)",3,6070,539556
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Administration et bureaux (Bureaux Standards)",376,835972,92645874
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Internat primaire",9,29518,3354757
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Salles d'enseignement Elémentaire",4480,11212567,1131430242
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Salles d'enseignement Maternelle",2173,3603587,371185982
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Salles multi activité et Périscolaire",761,1292227,137733383
"2020","Enseignement","Enseignement Primaire","Enseignement Primaire - Valeur par défaut",4303,10173924,961645437
"2020","Enseignement","Enseignement Primaire","Enseignement Secondaire - Collège - Salles d'enseignements généraux",5,21310,1968559
"2020","Enseignement","Enseignement Primaire","Gymnase (applicable à : Cesta punta, Salle d'escalade, Squash ou Tennis couvert…)",12,62521,6552001
"2020","Enseignement","Enseignement Primaire","Local vacant",3,6861,870799
"2020","Enseignement","Enseignement Primaire","Restauration collective scolaire et universitaire",21,36736,4059122
"2020","Enseignement","Enseignement Primaire","Salle de spectacles vivants sans protection patrimoniale - Salle de spectacle et de répétition",7,11609,938363
"2020","Enseignement","Enseignement Primaire","Salle de sport collectif (Basket ball, Hand ball, Volley ball, Futsal…)",14,95480,9099573
"2020","Enseignement","Enseignement Primaire","Salle de sport de cours collectifs (fitness, pilates…)",3,17838,2064986
"2020","Enseignement","Enseignement Secondaire","Enseignement Primaire - Salles d'enseignement Elémentaire",5,13738,1099421
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Administration et bureaux (Bureaux Standards)",90,674936,65331439
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Collège - Salles d'enseignements généraux",2550,14801575,1330810875
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Collège - Salles d'enseignements professionnels adaptés",16,110486,11727168
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Etablissement régional d'enseignement adapté",114,1279489,147150689
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Internat secondaire",123,581016,64220894
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Lycée d'enseignement général (LG) ou Salles d'enseignement banalisé - Toutes séries confondues",1034,15438561,1419318755
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Lycée d'enseignement général et techhnologique agricole - Lycée d'enseignement professionnel agricole",190,2066934,209576428
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Lycée d'enseignement professionnel",678,8167028,716169164
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Salles de TP",68,479218,48750880
"2020","Enseignement","Enseignement Secondaire","Enseignement Secondaire - Valeur par défaut",2709,19404176,1928930251
"2020","Enseignement","Enseignement Secondaire","Formation continue pour adultes - Ateliers et Halles techniques avec Process",3,46886,4002466
"2020","Enseignement","Enseignement Secondaire","Gymnase (applicable à : Cesta punta, Salle d'escalade, Squash ou Tennis couvert…)",3,10497,869795
"2020","Enseignement","Enseignement Secondaire","Restauration collective scolaire et universitaire",3,14746,967661
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Administration et bureaux (Bureaux Standards)",141,1466275,212373434
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Amphithéâtre, Auditorium, Salles de conférences",31,148690,16221566
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Ateliers et Halles techniques avec Process",40,207532,23601160
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Salles de formation, d'enseignement ou de TP",96,609776,68485708
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Salles de formation, d'enseignement ou de vie de campus - Sans Process",428,2767299,335736797
"2020","Enseignement","Enseignement Supérieur","Enseignement Supérieur - Valeur par défaut",769,4746368,557059317
"2020","Evenementiel","Parc d'expositions","Parc d'expositions - Halles d'expositions",74,840078,47782182
"2020","Evenementiel","Parc d'expositions","Parc d'expositions - Valeur par défaut",50,662138,38744135
"2020","Evenementiel","Sports","Bureaux - Bureaux standards",3,24229,2486709
"2020","Evenementiel","Sports","Centre équestre",21,72533,1962830
"2020","Evenementiel","Sports","Enseignement Primaire - Salles d'enseignement Elémentaire",4,17686,3025632
"2020","Evenementiel","Sports","Entrepôt ou messagerie sans besoin de maintien en température du produit (avec ou sans maintien hors-gel des locaux)",5,15518,2256441
"2020","Evenementiel","Sports","Gymnase (applicable à : Cesta punta, Salle d'escalade, Squash ou Tennis couvert…)",1924,4484072,404146085
"2020","Evenementiel","Sports","Patinoire, dont vestiaires, douches et sanitaires",50,270019,81416025
"2020","Evenementiel","Sports","Piscine, dont vestiaires, douches et sanitaires",763,2375686,1197663321
"2020","Evenementiel","Sports","Récupération sportive (Massage - Cryothérapie en bassin ou cabine), Sauna, Hammam",7,46621,13625018
"2020","Evenementiel","Sports","Salle d'athlétisme couverte",14,86322,5823899
"2020","Evenementiel","Sports","Salle de danse",64,53232,5154154
"2020","Evenementiel","Sports","Salle de spectacles vivants sans protection patrimoniale - Salle de spectacle et de répétition",9,26973,4188797
"2020","Evenementiel","Sports","Salle de sport collectif (Basket ball, Hand ball, Volley ball, Futsal…)",2271,5409766,472059081
"2020","Evenementiel","Sports","Salle de sport de combat (Dojo)",140,207216,19423183
"2020","Evenementiel","Sports","Salle de sport de cours collectifs (fitness, pilates…)",318,596314,53826381
"2020","Evenementiel","Sports","Salle de sport de pratique individuelle (Machines cardio et musculation)",575,771659,79396940
"2020","Evenementiel","Sports","Sports - Administration et bureaux (bureaux standards)",161,205491,26426563
"2020","Evenementiel","Sports","Sports - Valeur par défaut",1783,4349366,448186113
"2020","Evenementiel","Sports","Sports - Vestiaires, douches et sanitaires (sauf vestiaires de piscines et patinoires)",488,551558,73522324
"2020","Evenementiel","Sports","Stade/vélodrome - couvert",81,270246,24424937
"2020","Evenementiel","Sports","Stade/vélodrome, Hippodrome et Cynodrome - non couvert",177,998154,103163450
"2020","Evenementiel","Sports","Stand de tir",20,64781,1748249
"2020","Halles","Halles et marchés couverts","Halles et marchés couverts (Valeur par défaut)",104,216283,20532269
"2020","Halles","Halles et marchés couverts","Halles et marchés couverts - Etale ou stand alimentaire",37,74987,7950462
"2020","Halles","Halles et marchés couverts","Halles et marchés couverts - Etale ou stand non-alimentaire",5,30843,2522375
"2020","Halles","Halles et marchés couverts","Halles et marchés couverts - Partie commune (mail et locaux technique)",13,22406,2228299
"2020","Hébergement touristique","Hébergement touristique de courte durée (auberge de jeunesse, centre-sportif, colonies de vacances, gîte d'étape et refuge de montagne)","Hébergement touristique de courte durée - Administration et bureaux (bureaux standards)",13,38032,3785864
"2020","Hébergement touristique","Hébergement touristique de courte durée (auberge de jeunesse, centre-sportif, colonies de vacances, gîte d'étape et refuge de montagne)","Hébergement touristique de courte durée - Cuisine",3,5750,557534
"2020","Hébergement touristique","Hébergement touristique de courte durée (auberge de jeunesse, centre-sportif, colonies de vacances, gîte d'étape et refuge de montagne)","Hébergement touristique de courte durée - Sanitaires et zone de couchages",202,519003,62455715
"2020","Hébergement touristique","Hébergement touristique de courte durée (auberge de jeunesse, centre-sportif, colonies de vacances, gîte d'étape et refuge de montagne)","Hébergement touristique de courte durée - Valeur par défaut",366,1011096,116106836
"2020","Hébergement touristique","Hébergement touristique de courte durée (auberge de jeunesse, centre-sportif, colonies de vacances, gîte d'étape et refuge de montagne)","Hébergement touristique de courte durée - Zone de restauration",13,17059,1874462
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidence de tourisme, ERP, 2 étoiles - Appartements et services (hors restauration)",20,74508,9081407
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidence de tourisme, ERP, 3 étoiles - Appartements et services (hors restauration)",66,325253,32477362
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidence de tourisme, ERP, 4 étoiles - Appartements et services (hors restauration)",33,193924,37961321
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidence de tourisme, ERP, 5 étoiles et plus - Appartements et services (hors restauration)",4,16912,2527735
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidences de tourisme, ERP, 1 étoile et non classé - Appartements et services (hors restauration)",17,52787,5833617
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidences de tourisme, village ou club de vacances, ERP - Administration et bureaux (bureaux standard)",15,45824,3459030
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidences de tourisme, village ou club de vacances, ERP - Piscine intérieure",18,83805,35303534
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidences de tourisme, village ou club de vacances, ERP - Sauna et Hammam",4,2449,981565
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Résidences de tourisme, village ou club de vacances, ERP - Valeur par défaut",211,1264910,136376709
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Village ou club de vacances, ERP, 1 étoile et non classé - Chambres et services (hors restauration)",8,19167,1956171
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Village ou club de vacances, ERP, 2 étoiles - Chambres et services (hors restauration)",3,8618,1098121
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Village ou club de vacances, ERP, 3 étoiles - Chambres et services (hors restauration)",43,235550,22990685
"2020","Hébergement touristique","Résidences de tourisme et villages ou clubs de vacances","Village ou club de vacances, ERP, 4 étoiles - Chambres et services (hors restauration)",5,20555,2462473
"2020","Hébergement touristique","Terrain de camping et parcs pour caravanes ou véhicules de loisirs","Terrain de camping - Administration et bureaux (Bureaux Standards)",4,4797,888805
"2020","Hébergement touristique","Terrain de camping et parcs pour caravanes ou véhicules de loisirs","Terrain de camping - Blocs sanitaires",8,3756,742439
"2020","Hébergement touristique","Terrain de camping et parcs pour caravanes ou véhicules de loisirs","Terrain de camping - Valeur par défaut",33,80125,9542725
"2020","Hôtels","Hôtellerie","Hôtel - Administration et bureaux (bureaux standards)",21,57173,9369551
"2020","Hôtels","Hôtellerie","Hôtel - Piscine extérieure chauffée",7,23514,2495529
"2020","Hôtels","Hôtellerie","Hôtel - Piscine intérieure",14,48800,13087886
"2020","Hôtels","Hôtellerie","Hôtel - Sauna et Hammam",6,24408,5214220
"2020","Hôtels","Hôtellerie","Hôtel - Valeur par défaut",1040,3525766,545092574
"2020","Hôtels","Hôtellerie","Hôtel 1 étoile et non classé - Chambres et services",214,310137,47766935
"2020","Hôtels","Hôtellerie","Hôtel 2 étoiles - Chambres et services",500,971473,121029407
"2020","Hôtels","Hôtellerie","Hôtel 3 étoiles - Chambres et services",1164,2961402,385032825
"2020","Hôtels","Hôtellerie","Hôtel 4 étoiles- Chambres et services",724,3465224,524564151
"2020","Hôtels","Hôtellerie","Hôtel 5 étoiles et plus - Chambres et services",170,1139146,227313877
"2020","Imprimerie","Imprimerie et reprographie","Imprimerie et reprographie - Administration et bureaux (Bureaux Standards)",23,36846,3215033
"2020","Imprimerie","Imprimerie et reprographie","Imprimerie et reprographie - Atelier d'imprimerie numérique",45,103228,22206901
"2020","Imprimerie","Imprimerie et reprographie","Imprimerie et reprographie - Atelier d'imprimerie offset",27,96672,30820445
"2020","Imprimerie","Imprimerie et reprographie","Imprimerie et reprographie - Local de stockage de matières premières et produits finis",11,44602,10676457
"2020","Imprimerie","Imprimerie et reprographie","Imprimerie et reprographie - Valeur par défaut",45,54314,12662236
"2020","Justice","Justice - Etablissements pénitentiaires","Etablissements pénitentiaires - Locaux hors zone de détention",29,354857,92377433
"2020","Justice","Justice - Etablissements pénitentiaires","Etablissements pénitentiaires - Zone de détention",35,422863,105190725
"2020","Justice","Justice - Protection Judiciaire de la Jeunesse","Protection Judiciaire de la Jeunesse - Hébergement des mineurs",19,70101,11848661
"2020","Justice","Justice - Protection Judiciaire de la Jeunesse","Protection Judiciaire de la Jeunesse - Valeur par défaut",10,23202,3665691
"2020","Justice","Justice - Tribunaux","Tribunaux - Administration et bureaux (Bureaux standards)",192,720375,97593312
"2020","Justice","Justice - Tribunaux","Tribunaux - Valeur par défaut",24,146377,18779488
"2020","Laboratoires","Laboratoires (hors périmètre médical : étalonnage, suivi écologique…)","Laboratoire - Administration et bureaux (Bureaux Standards)",58,139867,47845452
"2020","Laboratoires","Laboratoires (hors périmètre médical : étalonnage, suivi écologique…)","Laboratoire - Valeur par défaut",148,491447,173878364
"2020","Laboratoires","Laboratoires (hors périmètre médical : étalonnage, suivi écologique…)","Laboratoire - Zone laboratoire",67,425722,138377295
"2020","Local vacant","Local vacant","Local vacant",319,904208,76470750
"2020","Logistique","Logistique","Entrepôt ou messagerie sans besoin de maintien en température du produit (avec ou sans maintien hors-gel des locaux)",6570,45958592,3569433183
"2020","Logistique","Logistique","Entrepôt à température ambiante (évolution libre entre +12°C et +26°C) ou avec maintien hors-gel pour les besoins du produit",393,3842618,274038645
"2020","Logistique","Logistique","Logistique - Administration et bureaux (bureaux standards)",839,3200427,314225314
"2020","Logistique","Logistique","Logistique - Valeur par défaut",2095,13507929,1019215943
"2020","Logistique","Logistique","Logistique de froid négatif (Référence -18°C)",229,1418958,510948557
"2020","Logistique","Logistique","Logistique ou messagerie température dirigée +12 à +17°C - produits frais (référence à +15°C)",317,2079769,216611948
"2020","Logistique","Logistique","Logistique ou messagerie température dirigée froid positif +1 à +8°C - produits frais (référence à +3°C)",413,2880583,638990087
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Administration et bureaux (Bureaux Standards)",28,76157,19654539
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Bowling",29,78239,5673411
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Casino",103,340529,118636223
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Discothèque",14,18867,1076223
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Escape Game",11,3574,333243
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Espace Aqua ludique",12,52671,12990938
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Espace récréatif pour enfants",141,195481,19238340
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Laser Game",6,6292,202118
"2020","Nuit & Loisirs","Etablissement de nuit et de loisirs","Etablissement de nuit et de loisirs - Valeur par défaut",165,305719,46798260
"2020","Parc à thèmes","Parc d'attractions et parc à thèmes","Parc d'attractions et parc à thèmes - Administration et bureaux (Bureaux Standards)",8,24767,7006709
"2020","Parc à thèmes","Parc d'attractions et parc à thèmes","Parc d'attractions et parc à thèmes - Attraction bâtiment semi-ouvert",5,105852,28360674
"2020","Parc à thèmes","Parc d'attractions et parc à thèmes","Parc d'attractions et parc à thèmes - Valeur par défaut",128,423021,147869212
"2020","Parties communes CC","Parties communes des centres commerciaux et des galeries commerciales","C Commercial et G Commerciale (Valeur par défaut)",406,1177726,181616983
"2020","Parties communes CC","Parties communes des centres commerciaux et des galeries commerciales","C Commercial et G Commerciale - Administration et bureaux",13,17255,1577905
"2020","Parties communes CC","Parties communes des centres commerciaux et des galeries commerciales","C Commercial et G Commerciale - Zones accessibles au public",462,1378147,239277810
"2020","Parties communes CC","Parties communes des centres commerciaux et des galeries commerciales","C Commercial et G Commerciale - Zones techniques Commerces",25,40993,4187364
"2020","Restauration","Restauration - Débit de boissons","Bar et café (sans restauration)",63,46753,8822593
"2020","Restauration","Restauration - Débit de boissons","Cafétéria (service de boissons chaudes, sandwiches et plats à réchauffer au micro-ondes)",114,136775,39657634
"2020","Restauration","Restauration - Débit de boissons","Restaurant gastronomique",30,36191,10243723
"2020","Restauration","Restauration - Débit de boissons","Restaurant traditionnel ou Brasserie",554,296372,95759864
"2020","Restauration","Restauration - Débit de boissons","Restauration - Valeur par défaut",651,489104,139299779
"2020","Restauration","Restauration - Débit de boissons","Restauration collective - Cuisine centrale",87,152252,54546675
"2020","Restauration","Restauration - Débit de boissons","Restauration collective avec services - Restauration inter-entreprises",117,176448,42601318
"2020","Restauration","Restauration - Débit de boissons","Restauration collective scolaire et universitaire",503,544750,107235260
"2020","Restauration","Restauration - Débit de boissons","Restauration en service continu en libre-service (avec plateaux) - Self",4,1959,689790
"2020","Restauration","Restauration - Débit de boissons","Restauration et débit de boissons - Réserve - Température ambiante",13,19482,11049234
"2020","Restauration","Restauration - Débit de boissons","Restauration et débits de boisson - Réserve et/ou meubles froid négatif",4,1670,354435
"2020","Restauration","Restauration - Débit de boissons","Restauration et débits de boisson - Réserve et/ou meubles froid positif",10,16548,10679718
"2020","Restauration","Restauration - Débit de boissons","Restauration et débits de boissons - Administration et bureaux (bureaux standard)",34,51930,11744252
"2020","Restauration","Restauration - Débit de boissons","Restauration rapide commerciale continue (Burger - Salade - Kebab, …)",603,194268,113871454
"2020","Restauration","Restauration - Débit de boissons","Restauration rapide debout (Sandwicherie)",42,11512,3072300
"2020","Restauration","Restauration - Débit de boissons","Restauration sans service à la place (vente emportée ou livrée)",33,16782,3590563
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Administration non intégrée dans un service de soins (Bureaux Standards)",186,4079176,1129932594
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Blanchisserie",11,77399,59427252
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Blocs opératoires (blocs opératoires programmés et blocs opératoires d'urgence)",18,257915,73847104
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Consultation",338,1892127,466767422
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Hospitalisation ambulatoire",88,206469,47483629
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Hospitalisation conventionnelle",530,11646941,3220907780
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Imageries médicales (mammographie, tomographie, échographie, radiographie, IRM…)",31,19501,8048138
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Laboratoires classés P2, P3, P4",3,9098,4540075
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Laboratoires courants",23,39486,10016016
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Restauration collective - Cuisine centrale (plateau repas)",15,46248,22640090
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Restauration collective avec services - Restauration collective inter-entreprises",3,1910,336236
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Rééducation fonctionnelle - Kinésithérapie (SSR, thermothérapie, massages…)",135,1107486,224125274
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Salles blanches (pharmacie, chimiothérapie, dialyse, oxygénothérapie, prélèvements d'organes…)",5,4415,637775
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Valeur par défaut",931,17911255,4301933679
"2020","Santé","Santé - Centres Hospitaliers","Centres Hospitaliers - Zone accueil public",47,577772,143235546
"2020","Santé","Santé - Centres Hospitaliers","Entrepôt ou messagerie sans besoin de maintien en température du produit (avec ou sans maintien hors-gel des locaux)",4,115759,13095842
"2020","Santé","Santé - Centres Hospitaliers","Etablissement d'hébergement pour personnes âgées dépendantes (EHPAD) - Zones de vie",19,377127,88111040
"2020","Santé","Santé - Centres Hospitaliers","Local vacant",5,231512,35797365
"2020","Santé","Santé - Centres Hospitaliers","Stationnement en infrastructure (Sous-sol en ventilation mécanique)",5,266818,82111727
"2020","Santé","Santé - Etablissements médico-sociaux","Centre médical (Maison médicale - Protection Maternelle et Infantile)",100,114499,15102385
"2020","Santé","Santé - Etablissements médico-sociaux","Centre médical spécialisé pour enfants et adolescents (CAMSP - CMPP)",77,143926,19944047
"2020","Santé","Santé - Etablissements médico-sociaux","Entrepôt ou messagerie sans besoin de maintien en température du produit (avec ou sans maintien hors-gel des locaux)",4,16538,2541633
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement d'hébergement pour personnes âgées dépendantes (EHPAD) - Zones de vie",3213,15587808,2637943584
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement d'hébergement social ou médico-social de mineurs en difficultés (MECS) - Zones de vie",240,599306,99520272
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement de Balnéothérapie - Bassins et piscines (dont vestiaires et douches)",6,26060,13825182
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement de Balnéothérapie - Zone de soins (massages, sauna et hammam)",3,13428,5180505
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement de prise en charge pour les enfants et adolescents (IEM - EEAP - IME - IDA - IDV - ITEP) - Zones de vie",670,2196740,313558795
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement médicalisé d'hébergement permanent pour adultes dépendants (MAS - FAM/EAM) - Zones de vie",787,2716854,469183432
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement médico-social - Administration et bureaux (bureaux standards)",343,652053,99007220
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement médico-social - Laverie",53,269987,57611655
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissement médico-social - Restauration collective avec services",37,129609,20146926
"2020","Santé","Santé - Etablissements médico-sociaux","Etablissements médico-sociaux - Valeur par défaut",2827,10535075,1763725748
